timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
16638674411,337,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16638682741,338,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16638695280,339,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16638751692,340,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16638769945,341,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16638782679,342,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16638819967,343,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16638833770,344,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16638866201,345,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16638911408,346,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16638922757,347,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16638970009,348,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16639014848,349,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16639027624,350,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16639120310,351,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16639132400,352,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16639140149,353,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16639152266,354,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16639187692,355,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16639216561,356,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16639248346,357,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16639323742,358,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16639338961,359,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16639352781,360,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16639369934,361,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16639395210,362,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16639477187,363,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16639499294,364,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16639519932,365,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16639534840,366,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16639550181,367,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16639600267,368,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16639616158,369,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16639666412,370,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16639683705,371,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16639712726,372,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16639766232,373,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16639776965,374,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16639857741,375,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16639870252,376,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16639877634,377,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16639933605,378,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16639946150,379,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16639962701,380,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16639988991,381,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16640021263,382,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16640083957,383,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16640090160,384,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16640133697,385,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16640152399,386,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16640214023,387,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16640232828,388,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16640240122,389,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16640275259,390,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16640313947,391,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16640334910,392,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16640372754,393,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16640413132,394,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16640433657,395,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16640470256,396,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16640509197,397,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16640565242,398,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16640622722,399,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16640645186,400,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16640660225,401,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16640666443,402,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16640677636,403,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16640712741,404,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16640737745,405,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16640769979,406,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16640825212,407,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16640836555,408,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16640886798,409,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16640903891,410,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16640972473,411,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16640984936,412,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16640995178,413,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16641015143,414,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
