timestamp,sequence,battery,flags,EEG-ch1,EEG-ch2,EEG-ch3,EEG-ch4,EEG-ch5,EEG-ch6,EEG-ch7,EEG-ch8,EEG-ch9,EEG-ch10,EEG-ch11,EEG-ch12,EEG-ch13,EEG-ch14,EEG-ch15,EEG-ch16
16623526498,140,3,0,-71270.9091906418,-76464.6419087273,90442.9650251040,-23795.1600746422,-62955.6390265083,-6893.1097594680,102070.0267428090,-73406.9970386965,-43751.7646648541,-11200.0120623102,-36166.0087637400,-62149.4317704138,101201.3626989224,33667.7737551441,-3516.0628478351,102070.0267428090
16623526498,140,3,0,17935.0756077451,17027.5722755996,101784.3778921936,-23759.0706858654,-62661.2902726645,-6853.1145400110,102070.0267428090,-73303.0605724350,-43719.1552373686,-11052.0893720337,-36089.6321307824,-61641.9414713225,102070.0267428090,97132.0225088513,-3366.5826923652,102070.0267428090
16623526498,140,3,0,-4389.8859951747,-13699.6706914345,98310.1232506422,-23830.5924077906,-64012.0871354634,-6939.7850444809,102070.0267428090,-75269.9565961667,-43765.5993361417,-11212.3866099792,-36185.1120477521,-73545.1125653338,102070.0267428090,83982.7575832026,-3550.3879205726,102070.0267428090
16623526498,140,3,0,-50710.8476764961,-55927.5530061833,89481.2424359155,-23866.1707533009,-62861.8382517002,-6970.6179882302,101487.9971329804,-73610.0758986714,-43836.8655364337,-11340.1474266201,-36290.8615008402,-65754.7081713547,96961.6625856333,-998.0188288113,-3681.0689844510,100877.2760940433
16623538961,141,3,0,-74381.0698401603,-77915.7492641345,88451.6240984549,-23802.0834941345,-62477.3390320952,-6897.7821550481,101823.6673852349,-72712.4162332557,-43755.3663031137,-11218.0202536082,-36181.4374033115,-59230.4621410741,99642.1331895465,18573.6241693163,-3538.7434347130,102070.0267428090
16623538961,141,3,0,-19873.0490161287,-21254.5936487992,98296.6414425624,-23749.8597393704,-62096.4779538403,-6855.3290608328,102070.0267428090,-72045.3709257252,-43673.4533681016,-11065.3521615707,-36057.8257712873,-54841.5982324326,102070.0267428090,83934.4274914218,-3381.5976302447,102070.0267428090
16623538961,141,3,0,17889.6170924146,9277.7106474346,100561.3418460356,-23820.4932194276,-64157.1382492897,-6931.4988429444,102070.0267428090,-75627.9545720913,-43748.0900204135,-11176.4188981706,-36159.8032383603,-75452.3382038458,102070.0267428090,88217.1647483737,-3530.3963946925,102070.0267428090
16623538961,141,3,0,-37425.6939127288,-44151.2544869449,93240.2820216079,-23846.5807614159,-63297.1254378441,-6952.2812691180,102070.0267428090,-74348.8254435795,-43803.3556993833,-11283.7866549362,-36249.5400024295,-69418.6572063758,100194.8508177286,32664.4498105179,-3653.0832817582,102070.0267428090
16623538961,141,3,0,-76742.5642718601,-79240.3369079768,86375.9366974293,-23814.0321724146,-62112.5271459498,-6910.4122243503,99818.9298243838,-72129.2428599257,-43784.2889184618,-11256.4215047814,-36212.5988748751,-56558.9956328099,97636.3978775559,-998.7002198334,-3584.8103348847,102070.0267428090
16623538961,141,3,0,-55121.8446256586,-59296.1190331307,94261.4438097765,-23763.3293797534,-62244.6561657501,-6864.1993118167,102070.0267428090,-71976.3557493455,-43697.8374325348,-11110.1536212728,-36088.5248703715,-54266.5163774899,102070.0267428090,63862.9476755046,-3436.0359058306,102070.0267428090
16623538961,141,3,0,35360.4342278803,29266.3162802908,102070.0267428090,-23792.9942246077,-63982.7508184233,-6895.2269387152,102070.0267428090,-75460.8434239250,-43729.6924628172,-11127.9427940280,-36124.2005574564,-74220.6630929435,102070.0267428090,94352.0079772296,-3499.1010784639,102070.0267428090
16623538961,141,3,0,-28878.6656272087,-36773.7852200460,95693.0463471765,-23824.6302363474,-63573.1618079694,-6931.3649982794,102070.0267428090,-74646.8001710766,-43777.8157037520,-11239.4962385007,-36210.0558262391,-70360.8384744666,102070.0267428090,64657.8511412506,-3609.7297779781,102070.0267428090
16623576511,142,3,0,-73348.8841186702,-75939.3502691840,85495.7133415608,-23840.4847453077,-62081.3900097799,-6940.0405661141,98620.8375567128,-72124.9719983409,-43825.3305598456,-11317.7466967690,-36266.8059642213,-57101.2490417243,95891.6474947206,-16591.9808970351,-3650.4915623349,100987.7831165893
16623576511,142,3,0,-70384.9548495697,-76600.5429145427,91502.1752012379,-23785.9369604504,-62856.8129929123,-6885.2250919268,102070.0267428090,-72938.6015494974,-43736.3725283730,-11172.6347444586,-36142.7441274146,-59374.7223546069,102070.0267428090,43314.1169455265,-3502.4593627870,102070.0267428090
16623576511,142,3,0,34038.2679557058,31288.8673492907,102070.0267428090,-23772.0536183754,-63326.1210593732,-6856.5579982119,102070.0267428090,-74469.5289960631,-43737.4554533903,-11074.9768097577,-36106.6669063345,-68205.0267898619,102070.0267428090,98392.2430365002,-3439.5036994251,102070.0267428090
16623576511,142,3,0,-18696.5909134089,-27822.4730398868,96840.4723252768,-23835.2769710674,-63807.0979470873,-6943.5448627991,102070.0267428090,-74869.7853830538,-43773.0703019910,-11224.7733253449,-36194.2134849756,-71426.3028467676,102070.0267428090,79656.3504623532,-3580.8436657204,102070.0267428090
16623576511,142,3,0,-62264.5746854493,-66342.8703003820,86884.5950954155,-23867.9959078243,-62474.7473126719,-6970.6423236238,99345.8254365142,-72854.5349321477,-43844.2878314957,-11349.5530562642,-36293.1855309334,-61486.0732750206,95589.4019056387,-16997.2625428137,-3694.5264571372,100023.6999942171
16623576511,142,3,0,-72861.5678609113,-77859.7778587490,89782.5876154325,-23797.6179494004,-62843.8908988864,-6895.5919696199,102070.0267428090,-73272.4466472284,-43749.6474856069,-11202.4334339780,-36164.7676586641,-61971.1628442608,100577.9629198958,26991.9912286306,-3541.3351541363,102070.0267428090
16623576511,142,3,0,7874.7143652652,6865.2944045308,100821.9982473767,-23756.2599478993,-62451.0324715640,-6858.5048297036,102070.0267428090,-72861.7503763637,-43691.7779195170,-11054.5350790952,-36063.9217873956,-59293.7219968566,102070.0267428090,93506.0853587050,-3385.9049949201,102070.0267428090
16623576511,142,3,0,268.6992489410,-9413.9036779738,98685.7522192632,-23832.2715499522,-64080.2749084591,-6941.0383172536,102070.0267428090,-75393.3370419513,-43760.0021956032,-11208.0670776070,-36174.1367852178,-74278.1189573414,102070.0267428090,82550.1451269662,-3566.2180941392,102070.0267428090
16623622725,143,3,0,-47765.0361079650,-53690.8018023124,90256.3247235369,-23868.2149263671,-62990.0857762140,-6968.9266783718,102070.0267428090,-73840.9092750995,-43826.7906834643,-11329.2938410540,-36275.3476873910,-67032.1338223112,97451.4367181503,4112.0001351323,-3692.2024270440,101205.2441942089
16623622725,143,3,0,-76167.2390629809,-79539.5892436402,87593.1565845059,-23813.1682659402,-62366.0289415590,-6905.9223442226,101026.1722000656,-72527.7105954835,-43760.3428911142,-11227.6570694920,-36177.8479327488,-58273.4606182529,98886.9085831401,10140.0353212765,-3557.4451847299,102070.0267428090
16623622725,143,3,0,-31524.1297673622,-33812.1678133419,96982.2016578704,-23764.7164971912,-62074.3327456226,-6865.4890876800,102070.0267428090,-71904.2621456695,-43672.6381324145,-11070.9614698061,-36049.0893649684,-53964.2829561048,102070.0267428090,77305.2959145275,-3400.7860881345,102070.0267428090
16623622725,143,3,0,22297.7546328237,13697.7725307301,100916.6020901751,-23832.9529409743,-64169.7926539855,-6938.9698087937,102070.0267428090,-75668.5581763895,-43740.7894023198,-11165.9303435092,-36140.7121220451,-75637.2141893736,102070.0267428090,87302.5676489804,-3529.7758421545,102070.0267428090
