timestamp,sequence,battery,flags,IMU_B-ch1,IMU_B-ch2,IMU_B-ch3,IMU_B-ch4,IMU_B-ch5,IMU_B-ch6,IMU_B-ch7,IMU_B-ch8,IMU_B-ch9
16620826678,51,3,0,8.2232910156,0.9905273438,-5.2493164063,-1.2500000000,0.2439024390,0.2134146341,129.5974080518,-61.1987760245,-22.7995440091
16620837711,52,3,0,8.3213867188,1.0072753906,-5.3139160156,-1.4329268293,0.0304878049,0.2134146341,129.5974080518,-61.1987760245,-22.7995440091
16620861584,53,3,0,8.2639648438,1.0048828125,-5.2732421875,-1.7378048780,0.7621951220,0.2439024390,128.9974200516,-60.5987880242,-31.7993640127
16620899887,54,3,0,8.2161132813,1.0240234375,-5.2517089844,-2.1036585366,0.9756097561,0.2439024390,128.9974200516,-60.5987880242,-31.7993640127
16620913990,55,3,0,8.1993652344,0.9833496094,-5.2421386719,-2.0121951220,0.5182926829,0.3658536585,128.9974200516,-60.5987880242,-31.7993640127
16620927602,56,3,0,8.2424316406,0.9905273438,-5.2564941406,-1.1890243902,0.0609756098,0.7621951220,128.9974200516,-60.5987880242,-31.7993640127
16620985185,57,3,0,8.3118164063,0.9785644531,-5.3139160156,-1.4634146341,0.0914634146,0.2134146341,124.7975040499,-53.9989200216,-22.7995440091
16621002577,58,3,0,8.3142089844,0.9953125000,-5.2708496094,-0.8841463415,0.7621951220,0.4268292683,124.7975040499,-53.9989200216,-22.7995440091
16621022692,59,3,0,8.2711425781,1.0718750000,-5.2421386719,-0.8231707317,1.2195121951,0.7317073171,124.7975040499,-53.9989200216,-22.7995440091
16621034844,60,3,0,8.2472167969,0.9642089844,-5.2038574219,-1.5853658537,1.3719512195,1.4939024390,124.7975040499,-53.9989200216,-22.7995440091
16621039995,61,3,0,8.2352539063,0.9666015625,-5.2110351563,-1.4024390244,0.8841463415,1.5548780488,129.5974080518,-61.1987760245,-26.3994720106
16621134175,62,3,0,8.2783203125,0.9115722656,-5.1990722656,-1.4634146341,0.3963414634,0.9451219512,129.5974080518,-61.1987760245,-26.3994720106
